id;account_number;account_type;balance;creation_date;status
1;abaft yahoo steak;CREDIT;3234.32;2024-11-29T04:04:35;ACTIVE
2;whether agreeable tinderbox;SAVINGS;15920.89;2024-11-29T12:52:15;ACTIVE
3;kissingly enchanted milky;SAVINGS;16202.17;2024-11-29T06:32:08;SUSPENDED
4;pendant;CURRENT;7639.53;2024-11-28T22:15:38;CLOSED
5;dream less baptise;CURRENT;21045.71;2024-11-29T00:21:11;ACTIVE
6;doubter ick allegation;SAVINGS;11719.07;2024-11-29T00:23:28;SUSPENDED
7;catalyst powerfully following;SAVINGS;7727.59;2024-11-29T13:18:23;CLOSED
8;yowza useless;CURRENT;28172.23;2024-11-29T10:31:45;ACTIVE
9;lest scarification;CURRENT;6748.7;2024-11-29T01:55:24;ACTIVE
10;austere gah until;CURRENT;14532.02;2024-11-29T00:34:08;ACTIVE
